video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=V0iytr0qM90&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmfSBwkJhwoBhyohjO8%3D,/@nytimes,The New York Times,How Hong Kong’s Protesters Evade Police and Keep the Demonstrations Alive | Visual Investigations,674K,6 years,Get an email as soon as our next Visual Investigation is published: https://nyti.ms/3xhj7dE Hong Kong's protesters have employed ...,2026-01-22 02:55:21.184964
/watch?v=32KTKXZZ-BI&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmfSBwkJhwoBhyohjO8%3D,/@wsj,The Wall Street Journal,How Hong Kong Protesters Evade Surveillance With Tech | WSJ,7M,6 years,"Protesters in Hong Kong fear they are being monitored by the local government and potentially by China, a country at the cutting ...",2026-01-22 02:55:21.188627
/watch?v=uNecOTDXc_s&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@channelnewsasia,CNA,What has changed as Hong Kong marks five years since 2019 protests,26K,1 year,Hong Kong will mark five years since violent protests rocked the city and triggered sweeping changes to its political system.,2026-01-22 02:55:21.191321
/watch?v=xcODtfRb--M&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmfSBwkJhwoBhyohjO8%3D,/@PBSNewsHour,PBS NewsHour,Pro-democracy demonstrators and Beijing fight for the future of Hong Kong,54K,6 years,Hong Kong residents have been protesting for months against an extradition bill that would have allowed criminal suspects to be ...,2026-01-22 02:55:21.197711
/watch?v=C_h1oJYyTe4&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmfSBwkJhwoBhyohjO8%3D,/@globalnews,Global News,"Hong Kong police battle protesters, make mass arrests in violent weekend before China's National Day",216K,6 years,Pro-democracy protests in Hong Kong escalated over the weekend with some of the most violent clashes since demonstrations ...,2026-01-22 02:55:21.199212
/watch?v=d-tqfal4w34&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@dwnews,DW News,Hong Kong protests against extradition law | DW News,62K,6 years,In Hong Kong hundreds of thousands of people have taken to the streets for a huge rally against a proposed extradition law.,2026-01-22 02:55:30.169450
/watch?v=ogNqu_gWvs8&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@NBCNews,NBC News,Hong Kong Protests Halt City’s Transportation | NBC News Now,42K,6 years,"Protesters in Hong Kong blocked roads, trains, and tunnels in a strike that followed a weekend of demonstrations in the former ...",2026-01-22 02:55:30.171731
/watch?v=iejjwdxQDYw&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@BBCNews,BBC News,Hong Kong police storm metro system after protests - BBC News,395K,6 years,Hong Kong police have violently tackled suspected protesters after thousands of people marched in the city in defiance of a ban.,2026-01-22 02:55:30.176832
/watch?v=EVRlypakJso&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@SouthChinaMorningPost,South China Morning Post,Hong Kong protesters go on rampage after National Day shooting,279K,6 years,Subscribe to our YouTube channel for free here: https://sc.mp/subscribe-youtube Protesters vandalised businesses and railway ...,2026-01-22 02:55:30.180843
/watch?v=TWf1_kT03yw&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@CBSMornings,CBS Mornings,Teenage boy shot as protests raged in Hong Kong,87K,6 years,Weeks of anti-government protests in Hong Kong took yet another violent turn when a teenage boy was shot. Mass transit service ...,2026-01-22 02:55:30.182301
/watch?v=T5bDZEKtAfE&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@BBCNews,BBC News,Hong Kong protests: Airport cancels flights as thousands occupy - BBC News,40K,6 years,"The BBC's Stephen McDonell is in Hong Kong International Airport where departing flights has been cancelled , as ...",2026-01-22 02:55:30.183687
/watch?v=fMAgFicfN3g&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@markets,Bloomberg Television,China to Respond to Hong Kong Protests,49K,6 years,Jul.28 -- China's top Hong Kong policy office will give its first response on Monday on two months of increasingly chaotic unrest in ...,2026-01-22 02:55:30.185159
/watch?v=pfM1qPXoZ6o&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@ChinaUncensored,China Uncensored,Hong Kong Protests Have a New Target—the Chinese Communist Party,242K,6 years,"Hong Kong protesters have a new target—the Chinese Communist Party. After over 100 days of protest, protesters have shifted ...",2026-01-22 02:55:30.189204
/watch?v=XKuiYHhDeBM&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@CBSNews,CBS News,Hong Kong residents protest increasing Chinese control,2.9K,6 years,"Millions of protestors took to the streets of Hong Kong over fears of increasing chinese control, despite the suspension of an ...",2026-01-22 02:55:30.190633
/watch?v=rWTZ77C3xb4&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@VOANews,Voice of America,Time-lapse: Hong Kong Protesters March to Government Offices Demanding City Leader’s Resignation,20K,6 years,"Protesters clad in black marched in Hong Kong on Sunday, June 16, demanding that the city's leader steps down over her ...",2026-01-22 02:55:30.192116
/watch?v=VcGKxD-uIwk&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@trtworld,TRT World,Hong Kong Protests: Thousands stage rally on China's National Day,3K,6 years,Protestors have been staging a sit-in outside the school of a teenage activist who was injured by a live round when he was shot in ...,2026-01-22 02:55:30.193474
/watch?v=U0LvWnobB0w&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@euronews,euronews,Rival groups clash in Hong Kong protests,14K,6 years,Pro-democracy and pro-Beijing groups clashed in a shopping mall in Hong Kong on Saturday as unrest over alleged Chinese ...,2026-01-22 02:55:30.195627
/watch?v=cHOCghooY0Y&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@globalnews,Global News,Hong Kong protests: Riot police confront demonstrators in Sham Shui Po,149K,Streamed 6 years,Hong Kong riot police confronted and fired tear gas to disperse hundreds of protesters who had gathered outside a police station ...,2026-01-22 02:55:30.197035
